Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Honda Civic  2021 Oriel 1.8 i-VTEC CVT,PKR 66.5 lacs,6650000,Peshawar,2021,"49,000km",Petrol,1800cc,Automatic,Not Certified,Customer,49000
Suzuki Alto  2019 VXR,PKR 20.75 lacs,2075000,Nankanasahib,2019,"91,823km",Petrol,660cc,Manual,Not Certified,Customer,91823
Honda Civic Reborn 2010 VTi 1.8 i-VTEC,PKR 23.25 lacs,2325000,Lahore,2010,"150,000km",Petrol,1800cc,Manual,Not Certified,Customer,150000
Toyota Corolla Fielder  2006 ,PKR 28 lacs,2800000,Karak,2006,"200,000km",Petrol,1500cc,Automatic,Not Certified,Customer,200000
Suzuki Khyber  1996 GA,PKR 6.9 lacs,690000,Islamabad,1996,"85,000km",Petrol,1000cc,Manual,Not Certified,Customer,85000
Suzuki Mehran  2017 VXR Euro II,PKR 13.8 lacs,1380000,Islamabad,2017,"38,000km",Petrol,796cc,Manual,Not Certified,Customer,38000
Toyota Corolla  2015 XLi VVTi,PKR 35 lacs,3500000,Sialkot,2015,786km,Petrol,1300cc,Manual,Not Certified,Customer,786
Honda Civic  2006 VTi Oriel 1.6,PKR 18.75 lacs,1875000,Islamabad,2006,"150,000km",Petrol,1600cc,Manual,Not Certified,Customer,150000
Toyota Corolla  2017 Altis Automatic 1.6,PKR 39.7 lacs,3970000,Gujranwala,2017,"80,000km",Petrol,1600cc,Automatic,Not Certified,Customer,80000
Toyota Land Cruiser  1994 ,PKR 36.5 lacs,3650000,Islamabad,1994,"176,000km",Diesel,3000cc,Automatic,Not Certified,Customer,176000
Honda City 5th (GM2) Generation 2017 1.3 i-VTEC,PKR 32 lacs,3200000,Islamabad,2017,"85,000km",Petrol,1300cc,Manual,Not Certified,Customer,85000
Toyota Camry 4th (XV40) Generation 2006 Up-Spec Automatic 2.4,PKR 29.5 lacs,2950000,Islamabad,2006,"98,000km",Petrol,2400cc,Automatic,Not Certified,Customer,98000
Honda City  2020 1.3 i-VTEC Prosmatec,PKR 36.5 lacs,3650000,Karachi,2020,"68,000km",Petrol,1300cc,Automatic,Not Certified,Customer,68000
Suzuki Alto  2019 VXR,PKR 21 lacs,2100000,Islamabad,2019,"100,000km",Petrol,660cc,Manual,Not Certified,Customer,100000
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 26 lacs,2600000,Karachi,2011,"91,556km",Petrol,1800cc,Automatic,Not Certified,PakWheels,91556
Toyota Corolla  2018 GLi Automatic 1.3 VVTi,PKR 46 lacs,4600000,Lahore,2018,"50,300km",Petrol,1300cc,Automatic,Not Certified,Customer,50300
Honda City  2015 Aspire Prosmatec 1.3 i-VTEC,PKR 33.5 lacs,3350000,Islamabad,2015,"81,000km",Petrol,1300cc,Automatic,Not Certified,Customer,81000
Mercedes Benz E Class 5th (W213) Generation 2021 E200 AMG,PKR 3.65 crore,36500000,Islamabad,2021,"8,000km",Petrol,1991cc,Automatic,Not Certified,Customer,8000
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC,PKR 35.5 lacs,3550000,Bhalwal,2019,"68,000km",Petrol,1300cc,Manual,Not Certified,Customer,68000
Hyundai Elantra  2022 Limited,PKR 59 lacs,5900000,Lahore,2022,"34,000km",Petrol,2000cc,Automatic,Not Certified,Customer,34000
Honda Civic  2012 VTi Oriel 1.8 i-VTEC,PKR 28 lacs,2800000,Lahore,2012,"110,000km",Petrol,1800cc,Manual,Not Certified,Customer,110000
Daihatsu Mira  2019 X SA lll,PKR 31.5 lacs,3150000,Karachi,2019,"29,000km",Petrol,660cc,Automatic,Not Certified,Customer,29000
Honda City 5th (GM2) Generation 2019 Aspire Prosmatec 1.5 i-VTEC,PKR 39 lacs,3900000,Karachi,2019,"52,000km",Petrol,1500cc,Automatic,Not Certified,Customer,52000
Nissan Dayz  2014 Highway Star G,PKR 23.39 lacs,2339000,Karachi,2014,"84,000km",Petrol,660cc,Automatic,Not Certified,Customer,84000
Toyota Aqua  2012 S,PKR 34.5 lacs,3450000,Karachi,2012,"140,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,140000
Honda Accord  2003 CL7,PKR 20 lacs,2000000,Rawalpindi,2003,"220,000km",Petrol,2000cc,Automatic,Not Certified,Customer,220000
Suzuki Margalla  1993 GL,PKR 4 lacs,400000,Bahawalpur,1993,"5,000km",Petrol,1300cc,Manual,Not Certified,Customer,5000
Haval H6  2024 HEV,PKR 1.26 crore,12600000,Islamabad,2024,100km,Hybrid,1500cc,Automatic,Not Certified,Customer,100
Mercedes Benz C Class  2021 C 180 Cabriolet,PKR 3.15 crore,31500000,Karachi,2021,"12,832km",Petrol,1600cc,Automatic,Not Certified,Customer,12832
Toyota Prius  2011 S 1.5,PKR 31 lacs,3100000,Karachi,2011,"118,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,118000
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior,PKR 63 lacs,6300000,Peshawar,2021,"58,000km",Petrol,1800cc,Automatic,Not Certified,Customer,58000
Toyota Prado  2024 VX First Edition,PKR 7.25 crore,72500000,Lahore,2024,1km,Petrol,2700cc,Automatic,Not Certified,Customer,1
Toyota Vitz  2008 F 1.0,PKR 21.5 lacs,2150000,Peshawar,2008,"100,000km",Petrol,1000cc,Automatic,Not Certified,Customer,100000
Honda City  2017 1.5 i-VTEC,PKR 35.75 lacs,3575000,Sargodha,2017,"71,900km",Petrol,1500cc,Manual,Not Certified,Customer,71900
