Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Suzuki Swift  2022 GLX CVT,PKR 43 lacs,4300000,Islamabad,2022,"50,000km",Petrol,1200cc,Automatic,Not Certified,Customer,50000
Suzuki Alto  2021 VXL AGS,PKR 27.25 lacs,2725000,Multan,2021,"20,000km",Petrol,660cc,Automatic,Not Certified,Customer,20000
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 49.85 lacs,4985000,Karachi,2018,"33,315km",Petrol,1800cc,Automatic,Not Certified,Customer,33315
Suzuki Every  2016 GA,PKR 21 lacs,2100000,Karachi,2016,"130,000km",Petrol,660cc,Automatic,Not Certified,Customer,130000
Suzuki Wagon R  2014 VXR,PKR 19.2 lacs,1920000,Lahore,2014,"126,000km",Petrol,1000cc,Manual,Not Certified,Customer,126000
Suzuki Swift  2010 DLX 1.3,PKR 17 lacs,1700000,Sialkot,2010,"156,000km",Petrol,1300cc,Manual,Not Certified,Customer,156000
Seres 3  2024 EV,PKR 90 lacs,9000000,Lahore,2024,"17,000km",Electric,54.0kWh,Automatic,Not Certified,Customer,17000
BMW 7 Series 4th (E65) Generation 2004 745Li,PKR 35 lacs,3500000,Rawalpindi,2004,"85,000km",Petrol,4400cc,Automatic,Not Certified,PakWheels,85000
Toyota Prado  1991 ,PKR 35 lacs,3500000,Islamabad,1991,"259,000km",Diesel,2400cc,Manual,Not Certified,Customer,259000
Toyota Surf  1992 SSR-G 2.7,PKR 28 lacs,2800000,Islamabad,1992,"333,000km",Diesel,2700cc,Manual,Not Certified,Customer,333000
Toyota Fortuner  2023 GR-S,PKR 1.61 crore,16100000,Karachi,2023,"11,000km",Diesel,2800cc,Automatic,Not Certified,Customer,11000
Honda Vezel  2015 G,PKR 53.5 lacs,5350000,Lahore,2015,"58,000km",Petrol,1500cc,Automatic,Not Certified,Customer,58000
Toyota Hilux  2011 4x4 Double Cab Standard,PKR 55 lacs,5500000,Islamabad,2011,"216,000km",Diesel,2500cc,Manual,Not Certified,Customer,216000
Suzuki Alto  2019 VXR,PKR 23.5 lacs,2350000,Rawalpindi,2019,"95,000km",Petrol,660cc,Manual,Not Certified,Customer,95000
Honda City  2022 1.5L ASPIRE CVT,PKR 52 lacs,5200000,Peshawar,2022,"21,176km",Petrol,1500cc,Automatic,Not Certified,Customer,21176
Changan Karvaan  2024 Plus 1.2,PKR 31.5 lacs,3150000,Lahore,2024,1km,Petrol,1200cc,Manual,Not Certified,Customer,1
Toyota Yaris  2022 ATIV X CVT 1.5,PKR 47 lacs,4700000,Multan,2022,"35,000km",Petrol,1500cc,Automatic,Not Certified,Customer,35000
Toyota C-HR  2018 G-LED,PKR 78.5 lacs,7850000,Peshawar,2018,"108,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,108000
Suzuki Potohar  1987 Basegrade,PKR 8 lacs,800000,Lahore,1987,"100,000km",Petrol,1000cc,Manual,Not Certified,Customer,100000
Honda Freed  2019 + Hybrid G Honda Sensing,PKR 64 lacs,6400000,Karachi,2019,"106,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,106000
Suzuki Every 11th Generation (JDM) 2013 PU,PKR 18.75 lacs,1875000,Gujranwala,2013,"123,456km",Petrol,660cc,Manual,Not Certified,Customer,123456
Nissan Sunny  1988 ,PKR 3.5 lacs,350000,Karachi,1988,"300,000km",Petrol,1300cc,Manual,Not Certified,Customer,300000
Toyota Corolla  2012 GLi Automatic 1.6 VVTi,PKR 34.5 lacs,3450000,Khushab,2012,"75,000km",Petrol,1600cc,Automatic,Not Certified,Customer,75000
Suzuki Mehran  2015 VXR Euro II,PKR 12 lacs,1200000,Lahore,2015,"88,785km",Petrol,796cc,Manual,Not Certified,Customer,88785
Suzuki Swift  2016 DLX 1.3,PKR 25.9 lacs,2590000,Islamabad,2016,"77,000km",Petrol,1300cc,Manual,Not Certified,Customer,77000
